date,url,duration,resolution,video_itag,video_contentlength,video_bitrate,audio_itag,audio_contentlength,audio_bitrate
2024-07-19,https://www.youtube.com/watch?v=HqnnpffgmCI,769199,1920x1080/426x240/640x360/1280x720/854x480/256x144,137/248/399/136/247/398/135/244/397/134/243/396/133/242/395/160/278/394,151247598/85694687/84404287/41784719/43348718/48636067/22765086/27255218/27424872/14737694/18658709/15479902/8240714/10912345/7966970/5139450/7590056/5354339,3643866/2465211/2168249/972267/1280108/1339218/537878/752420/676568/363883/414363/330181/200085/223904/152618/109848/97768/78994,140/140/249/249/250/250/251/251,12450381/12450381/4855187/4907759/6182993/6284726/11444452/11576498,131319/131319/64847/65472/80546/81152/152019/153355
2024-07-19,https://www.youtube.com/watch?v=ozHD0Hlu3ao,566332,1920x1080/426x240/640x360/1280x720/854x480/256x144,137/248/136/247/135/244/134/243/133/242/160/278,137047372/65925829/72389735/47252654/36254320/22187069/18887111/13457319/9903499/7773027/4636769/3869404,3821891/1873054/2139200/1126834/1030917/615213/587468/354199/314602/218268/123390/105139,140/140/249/249/250/250/251/251,9167033/9167033/3488703/3501467/4429304/4443175/8026953/8050361,130780/130773/51372/51667/69371/69449/133022/133155
2024-07-19,https://www.youtube.com/watch?v=Y5c-KZQso9c,58792,1920x1080/426x240/640x360/1280x720/854x480/256x144,137/248/136/247/135/244/134/243/133/242/160/278,18536456/8919162/10128640/5546487/5408487/3053036/2967393/1896788/1593987/1165178/743509/610531,4585599/2060601/2125357/1234914/1153850/646616/617446/374634/286579/215692/132792/108071,140/140/249/249/250/250/251/251,953016/953016/367986/370199/480249/481172/935144/935869,130323/130318/51129/51352/70190/70208/136649/136776
2024-07-19,https://www.youtube.com/watch?v=2mATfpVGdk4,610299,1920x1080/426x240/640x360/1280x720/854x480/256x144,137/248/399/136/247/398/135/244/397/134/243/396/133/242/395/160/278/394,127321587/72684594/70200141/35783372/37232899/39898055/19513412/23196931/22505613/12982332/15916152/13158185/7133126/9220784/6999714/4458360/6372658/4502635,4039671/2531419/2524491/1221160/1415841/1244357/669850/752374/684044/439514/411071/330495/214915/227559/164030/107800/97240/83642,140/140/249/249/250/250/251/251,9878846/9878846/3520398/3567231/4307862/4357452/7852110/7911897,130913/130916/54264/55493/69278/69320/134404/134546
2024-07-19,https://www.youtube.com/watch?v=rL3_35FVwa4,497096,1920x1080/426x240/640x360/1280x720/854x480/256x144,137/248/399/136/247/398/135/244/397/134/243/396/133/242/395/160/278/394,61957081/57660273/46890979/18107305/34067454/27929993/11109507/18800550/15176765/7081656/12478019/9827245/3881536/5516409/5039295/1925813/3517607/2907357,3609622/2910646/2361886/1036352/1866698/1532169/727597/979833/872063/491452/528572/445774/245469/244195/206223/111581/109405/92083,140/140/249/249/250/250/251/251,8046798/8046798/3054515/3066692/3743035/3890256/6839279/7079117,130541/130541/51358/51772/67052/70008/128290/132707
2024-07-19,https://www.youtube.com/watch?v=sUJq717QFw8,433799,1920x1080/426x240/640x360/1280x720/854x480/256x144,137/248/399/136/247/398/135/244/397/134/243/396/133/242/395/160/278/394,83406844/52093009/45228010/31230730/30145858/28200843/17451001/17417158/15925846/10371009/12550648/10767992/5705823/6124241/5799800/2906177/3771700/3556881,3600613/2910610/2353416/1034572/1861922/1524365/724941/971866/872216/494309/534266/443263/245280/243978/206261/111493/109933/91971,140/140/249/249/250/250/251/251,7022436/7022436/2690136/2712429/3174635/3198104/5963538/5994747,130583/130613/53383/56426/65110/67746/129908/129861
2024-07-19,https://www.youtube.com/watch?v=zgZthxvQxy0,716482,1920x1080/426x240/640x360/1280x720/854x480/256x144,137/248/399/136/247/398/135/244/397/134/243/396/133/242/395/160/278/394,90168758/85098327/62126023/24124833/31778207/34013056/12691291/19299562/18328130/8271076/13215619/10540844/4659858/7213377/5627956/2911036/5976015/4016683,3602749/2468121/2326388/1031128/1437954/1247312/574484/759659/670777/388243/410117/314757/216471/222873/170458/100369/96427/82666,140/140/249/249/250/250/251/251,11597256/11597256/4408204/4425593/5397114/5606176/9785077/10123739,130939/130944/51447/51826/66888/69574/128436/133087
2024-07-19,https://www.youtube.com/watch?v=7rsitfaEsBQ,589766,1920x1080/426x240/640x360/1280x720/854x480/256x144,137/248/399/136/247/398/135/244/397/134/243/396/133/242/395/160/278/394,107317528/71706292/61282935/29998748/33316321/35050968/16526332/20775431/20198453/11000973/14511842/11643444/6185215/8531852/6184369/3875182/5997672/4180901,3601793/2531645/2357554/1034447/1420373/1255285/574092/751042/690186/387711/412518/314784/212589/227771/172251/99464/97142/80944,140/140/249/249/250/250/251/251,9546655/9546655/3647290/3682709/4666449/4714029/9035302/9077345,130956/130956/56176/58428/73063/74985/141412/141755
2024-07-19,https://www.youtube.com/watch?v=8IjaIf3WqtY,507140,1920x1080/426x240/640x360/1280x720/854x480/256x144,137/248/136/247/135/244/134/243/133/242/160/278,123985869/54643470/65100270/42307910/30372976/19915364/15670980/12079967/7902362/6619187/3677655/3159365,2297012/1041598/1282330/763542/594201/382366/355070/236637/190088/143453/82680/73294,140/140/249/249/250/250/251/251,8209138/8209138/3099016/3120032/3746709/3948176/6674452/6996093,130551/130551/50748/50919/61889/65906/110559/115252
2024-07-19,https://www.youtube.com/watch?v=IST-mxC8XUM,621166,1920x1080/426x240/640x360/1280x720/854x480/256x144,137/248/399/136/247/398/135/244/397/134/243/396/133/242/395/160/278/394,165951891/92218031/87540532/43843738/46686531/49239058/23275025/28226476/27190558/15094958/18977048/15273321/8107587/10934077/7759034/4874120/6807545/4757356,4435506/2554836/2471949/1446340/1533965/1264516/805625/751630/675906/532836/411479/353435/213109/227705/166414/103406/97933/82108,140/140/249/249/250/250/251/251,10054705/10054705/3769096/3811784/4662593/4715214/8798650/8842482,130666/130666/57996/58612/75360/74607/142724/141762
