date,url,duration,resolution,video_itag,video_contentlength,video_bitrate,audio_itag,audio_contentlength,audio_bitrate
2024-08-12,https://www.youtube.com/watch?v=Ype-9Q6ogWw,900933,640x360/1280x720/1920x1080/256x144/426x240/854x480,137/248/399/136/247/398/135/244/397/134/243/396/133/242/395/160/278/394,92994840/76088465/58586577/26259401/30674184/35728537/14889534/19828691/21258125/10337137/14446138/13291640/5832687/8438936/7417596/3811947/7831913/5596639,1968288/1725466/1329786/579523/656845/792918/322204/417051/439132/210796/288943/257908/122279/170317/122590/78599/94998/76923,140/140/249/249/250/250/251/251,14582527/14582427/5684125/5683748/6751645/6751886/12802389/12801824,131091/131088/52213/52166/67741/67754/132180/132185
2024-08-12,https://www.youtube.com/watch?v=B_LVZAb4l-4,481166,640x360/1280x720/1920x1080/256x144/426x240/854x480,137/248/399/136/247/398/135/244/397/134/243/396/133/242/395/160/278/394,75262970/50647008/46222316/22141839/24410398/27860904/12442298/15438971/16408505/8533721/11304039/10106464/4777382/6771159/5625829/3086034/5069995/3548769,1973900/1239713/1356681/582105/694380/844086/328392/430536/482245/219148/308113/296319/121156/188511/135097/77175/96788/82274,140/140/249/249/250/250/251/251,7789826/7789826/2999114/2999841/3550642/3551316/7083849/7084757,130697/130691/50825/50843/62330/62332/125920/125928
2024-08-12,https://www.youtube.com/watch?v=JTdHXanS_o4,0,,,,,,,
2024-08-12,https://www.youtube.com/watch?v=Vpma-LVlLYU,728299,640x360/1280x720/1920x1080/256x144/426x240/854x480,137/248/399/136/247/398/135/244/397/134/243/396/133/242/395/160/278/394,82665476/70822481/51751266/23206290/26896665/31532190/13433797/17353577/18694980/9344610/12798473/11815988/5279684/7524357/6696797/3401327/7044585/4963400,1451358/1228349/923493/424220/560498/594685/242166/359194/347048/167369/219781/207880/92808/131471/115380/59475/91150/74620,140/140/249/249/250/250/251/251,11788511/11788511/4596956/4593904/5189250/5188512/9601484/9600174,131108/131100/53180/53085/66986/66936/125702/125652
2024-08-12,https://www.youtube.com/watch?v=4RbE4hjjCI0,659233,640x360/1280x720/1920x1080/256x144/426x240/854x480,137/248/399/136/247/398/135/244/397/134/243/396/133/242/395/160/278/394,98606348/73546256/58526954/25317075/30524620/35256139/13922354/19265931/20034454/9559127/13671661/11980277/5272008/7740679/6434072/3363990/6698085/4300620,2904777/2459956/2013172/866274/1092854/1202624/492731/689625/639420/332019/409370/318587/183765/223625/172000/102907/97195/90417,140/140/249/249/250/250/251/251,10670951/10670894/4102335/4100629/5176042/5181508/10056180/10067173,134887/134119/51543/51505/67048/66976/133964/133954
2024-08-12,https://www.youtube.com/watch?v=PTVW0QfVPbU,851333,640x360/1280x720/1920x1080/256x144/426x240/854x480,137/248/399/136/247/398/135/244/397/134/243/396/133/242/395/160/278/394,104875997/73859633/53359605/26703389/31354673/33080826/14675409/19690615/18951950/10240058/14076965/11863362/5732544/8169396/6687046/3647930/7990790/5062056,3812162/2517226/2433543/1723994/1431150/1189916/748237/759313/623183/420145/407144/315101/187747/223211/136768/105003/96813/75929,140/140/249/249/250/250/251/251,13780315/13780304/5330576/5334309/6340338/6341412/12466067/12468248,131115/131121/50923/50942/63697/63709/126980/126984
2024-08-12,https://www.youtube.com/watch?v=Lj6MJZNF7W0,714266,640x360/1280x720/1920x1080/256x144/426x240/854x480,137/248/399/136/247/398/135/244/397/134/243/396/133/242/395/160/278/394,108640895/81917625/72829194/30823654/37028986/43315378/17406585/23350857/24302974/12005183/16369420/14578605/6555130/9323057/7540813/4093908/6967295/4830757,3412021/2515594/2353213/1014348/1374174/1200968/579331/754334/653757/405850/413396/333536/221990/229845/182321/107901/98170/92027,140/140/249/249/250/250/251/251,11561206/11561206/4448712/4458766/5344172/5354790/10289679/10309765,131012/131080/55046/54549/72352/72003/138132/139311
2024-08-12,https://www.youtube.com/watch?v=o533vOO_6i0,643933,640x360/1280x720/1920x1080/256x144/426x240/854x480,137/248/399/136/247/398/135/244/397/134/243/396/133/242/395/160/278/394,96859013/69734220/59936486/25960425/30260539/34502554/14433371/18947118/19675082/10034880/13611782/12060075/5481143/7777942/6426110/3412386/6407720/4279553,4607036/2273869/1801314/954841/1118788/1030696/525266/622705/564162/347308/409904/363086/188834/224973/180449/105526/97103/88565,140/140/249/249/250/250/251/251,10423439/10423373/4023061/4023904/5112273/5117070/10035583/10051520,130955/130986/51860/52151/68334/67688/135752/134639
2024-08-12,https://www.youtube.com/watch?v=iomf37eLSyw,648766,640x360/1280x720/1920x1080/256x144/426x240/854x480,137/248/399/136/247/398/135/244/397/134/243/396/133/242/395/160/278/394,72136590/58260947/55387320/20473438/26311654/32068863/11675920/16657851/18109803/8175638/11933837/11134039/4549031/6879088/6066101/2883485/6095683/4043154,2059613/1546709/1274352/600593/699961/740331/342354/425376/422677/230896/300217/254077/128054/178034/121685/78474/95188/77977,140/140/249/249/250/250/251/251,10501567/10501528/4071940/4073048/4993701/5007285/9724249/9752172,130946/130926/51430/51526/74185/74766/145780/146812
2024-08-12,https://www.youtube.com/watch?v=PUfvRtsRnfk,270536,640x360/1280x720/1920x1080/256x144/426x240/854x480,137/248/399/136/247/398/135/244/397/134/243/396/133/242/395/160/278/394,36523194/29232977/22482967/9752429/12060099/13130809/5472973/7820458/7750736/3754910/5556590/4807463/2096397/3212931/2679155/1320276/2923167/1870885,3563210/1595016/1776092/818346/791674/965590/405014/451612/527183/249460/288904/293293/119433/164981/131115/68407/96579/81080,140/140/249/249/250/250/251/251,4380563/4380938/1710667/1710528/2226847/2231016/4345891/4353079,130964/132469/51058/51008/70842/70664/142471/137842
2024-08-12,https://www.youtube.com/watch?v=BFwi137lZBU,851666,640x360/1280x720/1920x1080/256x144/426x240/854x480,137/248/399/136/247/398/135/244/397/134/243/396/133/242/395/160/278/394,122719455/95454676/76936183/36018358/41261454/45845411/20453323/26234413/26886038/14270163/19036604/16750637/8003358/11153726/9047771/5098405/8500975/6036428,3042866/2458180/2055615/913709/1044674/1094745/498375/655181/627840/331828/404532/336503/180630/223754/171839/107147/97099/81455,140/140/249/249/250/250/251/251,13785706/13785735/5350552/5355568/6761509/6768319/13199109/13215791,131444/131457/56020/55783/76310/75439/147248/144992
2024-08-12,https://www.youtube.com/watch?v=Hzv8mhhkcWo,648866,640x360/1280x720/1920x1080/256x144/426x240/854x480,137/248/399/136/247/398/135/244/397/134/243/396/133/242/395/160/278/394,117059983/75899552/70135294/31482606/36330106/42736344/17322582/23085606/24353965/11775246/16675714/14970666/6542756/9835529/7803723/4145009/7427750/4970391,2764145/1880954/1842523/788105/813774/1054878/431127/535827/570667/280481/374330/292495/149600/215627/143434/89100/97166/80002,140/140/249/249/250/250/251/251,10503522/10503550/4067276/4073666/5071688/5076930/9914753/9922313,131097/131087/57708/57848/73796/73986/143244/142816
2024-08-12,https://www.youtube.com/watch?v=UUoGxFYMwUE,741299,640x360/1280x720/1920x1080/256x144/426x240/854x480,137/248/399/136/247/398/135/244/397/134/243/396/133/242/395/160/278/394,101786880/68369562/50455905/24647557/26865071/30771809/13312902/18767135/17713651/9136446/12598069/11441396/5090400/7140045/6157292/3218305/7410337/4805213,2013807/1232225/1015690/458139/769731/585268/240835/546730/320702/163876/261317/199553/87347/143416/109630/55923/97306/76510,140/140/249/249/250/250/251/251,11999034/11999034/4651524/4649075/5243575/5243234/9745948/9745750,130981/130982/55418/55465/71796/71929/131574/131680
2024-08-12,https://www.youtube.com/watch?v=GZMx0BOxzGc,93233,640x360/1280x720/1920x1080/256x144/426x240/854x480,137/248/399/136/247/398/135/244/397/134/243/396/133/242/395/160/278/394,12805258/7527369/5679681/2976435/3184635/3399976/1572593/2069739/1982989/1082325/1445959/1251511/586489/822362/682922/372813/932294/586857,1387592/880355/773440/324054/360794/417820/174917/229914/237822/119654/164419/149184/62854/90258/77029/38392/92670/68871,140/140/249/249/250/250/251/251,1511502/1511502/585495/584068/742316/744608/1445242/1448831,130335/130361/52221/52283/68602/68913/133552/134054
2024-08-12,https://www.youtube.com/watch?v=reCxl6oa-5s,760699,640x360/1280x720/1920x1080/256x144/426x240/854x480,137/248/399/136/247/398/135/244/397/134/243/396/133/242/395/160/278/394,92794447/71625445/59866499/26915426/29595097/36667282/15673568/19001721/21444461/11036216/14063265/13842919/6148178/8412560/7712071/3964278/7472962/5513848,1885480/1529485/1155552/587128/602096/746981/334821/385789/436920/236778/293754/275376/134528/178853/134397/88360/95189/80744,140/140/249/249/250/250/251/251,12312928/12312915/4743575/4741072/5715733/5715583/10850443/10849516,130895/130900/55468/55479/70239/70272/130958/130988
2024-08-12,https://www.youtube.com/watch?v=o0X9BVHAbOs,667299,640x360/1280x720/1920x1080/256x144/426x240/854x480,137/248/399/136/247/398/135/244/397/134/243/396/133/242/395/160/278/394,92764770/71222479/52536190/23705541/30010372/34074400/13428782/18959907/18540908/9211842/13274048/11596100/5200953/7523501/6308122/3309281/6503532/4392717,4160471/2497862/2115952/1031586/1492378/1259109/589896/765344/701528/390349/410290/409717/215122/224501/161130/105274/97318/85781,140/140/249/249/250/250/251/251,10801235/10801235/4175652/4175324/5074210/5074471/9757606/9757740,130809/130809/51308/51296/65460/65472/129169/129191
